thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,0,40,[0.2591145833333333],[0.28125],[1],[0],[0],[1.9198791999951936],['target'],40,0,40,0,62.93223480001325,,5,62.912331100029405,62.93223480001325,62.93223480001325,0.03207119996659458,63.94723270001123,64.83262390003074,[0.2591145833333333],[0.28125],[1],[0],[0],[1.9198791999951936],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
41,0,41,[-0.07161458333333333],[-0.24869791666666666],[1],[0],[0],[1.5240678999689408],['target'],41,0,41,0,64.89416450000135,,5,64.87437100004172,64.89416450000135,64.89416450000135,0.04152650001924485,65.89678790001199,66.3988181000459,[-0.07161458333333333],[-0.24869791666666666],[1],[0],[0],[1.5240678999689408],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
42,0,42,[-0.08854166666666667],[-0.2604166666666667],[1],[0],[0],[1.5934948999783956],[None],42,0,42,0,66.5002740000491,,10,66.47198500001105,66.5002740000491,66.5002740000491,0.07295679999515414,67.51340960001107,68.06611030001659,[-0.08854166666666667],[-0.2604166666666667],[1],[0],[0],[1.5934948999783956],[None],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
43,0,43,[-0.3880208333333333],[-0.11588541666666667],[1],[0],[0],[2.034693200024776],[None],43,0,43,0,68.15972940000938,,10,68.13096280000173,68.15972940000938,68.15972940000938,0.06451809999998659,69.16318540001521,70.16634170000907,[-0.3880208333333333],[-0.11588541666666667],[1],[0],[0],[2.034693200024776],[None],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
44,0,44,[0.4153645833333333],[0.19010416666666666],[1],[0],[0],[1.9882943000411615],['target'],44,0,44,0,70.25340220000362,,10,70.22719770000549,70.25340220000362,70.25340220000362,0.06055370002286509,71.26306530000875,72.21604650001973,[0.4153645833333333],[0.19010416666666666],[1],[0],[0],[1.9882943000411615],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
45,0,45,[-0.39453125],[-0.4544270833333333],[1],[0],[0],[2.000904900021851],['target'],45,0,45,0,72.26331430004211,,5,72.2474601000431,72.26331430004211,72.26331430004211,0.031103799992706627,73.26380970003083,74.24899320001714,[-0.39453125],[-0.4544270833333333],[1],[0],[0],[2.000904900021851],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
46,0,46,[-0.12109375],[0.21614583333333334],[1],[0],[0],[1.373189400008414],['target'],46,0,46,0,74.31022300000768,,5,74.2919468000182,74.31022300000768,74.31022300000768,0.04274159995839,75.3129889999982,75.66557880002074,[-0.12109375],[0.21614583333333334],[1],[0],[0],[1.373189400008414],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
47,0,47,[0.4609375],[0.19661458333333334],[1],[0],[0],[1.6698023999924771],['target'],47,0,47,0,75.77834330004407,,10,75.74510870000813,75.77834330004407,75.77834330004407,0.07930240000132471,76.7795269000344,77.4153753000428,[0.4609375],[0.19661458333333334],[1],[0],[0],[1.6698023999924771],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
48,0,48,[-0.3932291666666667],[0.2565104166666667],[1],[0],[0],[2.1701727000181563],['target'],48,0,48,0,77.5075595000526,,10,77.4791860000114,77.5075595000526,77.5075595000526,0.06341829994926229,78.5127322000335,79.65003470005468,[-0.3932291666666667],[0.2565104166666667],[1],[0],[0],[2.1701727000181563],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
49,0,49,[-0.11848958333333333],[-0.23567708333333334],[1],[0],[0],[1.8940839000279084],['target'],49,0,49,0,79.74863310001092,,10,79.72134490002645,79.74863310001092,79.74863310001092,0.07094740000320598,80.7626965000527,81.6162129000295,[-0.11848958333333333],[-0.23567708333333334],[1],[0],[0],[1.8940839000279084],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
50,0,50,[-0.390625],[0.00390625],[1],[0],[0],[1.1548682000138797],[None],50,0,50,0,81.7295526000089,,10,81.69387110002572,81.7295526000089,81.7295526000089,0.07735999999567866,82.72980570001528,82.8494619000121,[-0.390625],[0.00390625],[1],[0],[0],[1.1548682000138797],[None],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
51,0,51,[0.4518229166666667],[0.4557291666666667],[1],[0],[0],[4.198679900029674],['target'],51,0,51,0,82.94668930000626,,10,82.91650690004462,82.94668930000626,82.94668930000626,0.06674400001065806,83.94597550004255,87.11592589999782,[0.4518229166666667],[0.4557291666666667],[1],[0],[0],[4.198679900029674],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
52,0,52,[0.07942708333333333],[-0.2760416666666667],[1],[0],[0],[1.0727772999671288],[None],52,0,52,0,87.22141320002265,,10,87.19174110004678,87.22141320002265,87.22141320002265,0.07536809996236116,88.2290463000536,88.26514440000756,[0.07942708333333333],[-0.2760416666666667],[1],[0],[0],[1.0727772999671288],[None],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
53,0,53,[-0.33984375],[-0.4622395833333333],[1],[0],[0],[1.384126599994488],['target'],53,0,53,0,88.31567890004953,,5,88.29777670005569,88.31567890004953,88.31567890004953,0.03220290003810078,89.32935130002443,89.68251500005135,[-0.33984375],[-0.4622395833333333],[1],[0],[0],[1.384126599994488],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
54,0,54,[-0.3619791666666667],[-0.024739583333333332],[1],[0],[0],[0.9206315000192262],['target'],54,0,54,0,89.74329340003897,,5,89.72696620004717,89.74329340003897,89.74329340003897,0.04429450002498925,,90.6482088000048,[-0.3619791666666667],[-0.024739583333333332],[1],[0],[0],[0.9206315000192262],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
55,0,55,[-0.13671875],[-0.09375],[1],[0],[0],[0.9683691000100225],['target'],55,0,55,0,90.74724799999967,,10,90.71322830003919,90.74724799999967,90.74724799999967,0.06465110002318397,,91.68212440004572,[-0.13671875],[-0.09375],[1],[0],[0],[0.9683691000100225],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
56,0,56,[0.059895833333333336],[-0.26171875],[1],[0],[0],[0.9405914000235498],['target'],56,0,56,0,91.78705680003623,,10,91.75727380003082,91.78705680003623,91.78705680003623,0.07482839998556301,,92.69849310000427,[0.059895833333333336],[-0.26171875],[1],[0],[0],[0.9405914000235498],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
57,0,57,[-0.2890625],[-0.2903645833333333],[1],[0],[0],[0.8827726999879815],['target'],57,0,57,0,92.7483408000553,,5,92.73123940004734,92.7483408000553,92.7483408000553,0.03246159997070208,,93.61472000001231,[-0.2890625],[-0.2903645833333333],[1],[0],[0],[0.8827726999879815],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
58,0,58,[0.0026041666666666665],[0.3033854166666667],[1],[0],[0],[1.6614475999958813],['target'],58,0,58,0,93.71476840000832,,10,93.68595740001183,93.71476840000832,93.71476840000832,0.07100299996091053,94.72893080004724,95.34799100004602,[0.0026041666666666665],[0.3033854166666667],[1],[0],[0],[1.6614475999958813],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
59,0,59,[-0.25390625],[-0.13411458333333334],[1],[0],[0],[0.9677676999708638],['target'],59,0,59,0,95.39665120001882,,5,95.38000020000618,95.39665120001882,95.39665120001882,0.031717500009108335,,96.34854330000235,[-0.25390625],[-0.13411458333333334],[1],[0],[0],[0.9677676999708638],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
