delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.4,,,,,,exp,,,,,2.3956288,,,,,,,,
0.4,,,,,,exp,,,,,0.3399708,,,,,,,,
0.4,,,,,,exp,,,,,0.6261909,,,,,,,,
0.4,,,,,,exp,,,,,0.35619,,,,,,,,
0.4,,,,,,exp,,,,,0.9912096,,,,,,,,
0.4,,,,,,exp,,,,,0.3463291,,,,,,,,
0.4,,,,,,exp,,,,,0.6642852,,,,,,,,
0.4,,,,,,exp,,,,,1.1218002,,,,,,,,
0.4,,,,,,exp,,,,,0.5747389,,,,,,,,
0.4,,,,,,exp,,,,,1.5014259,,,,,,,,
0.4,,,,,,exp,,,,,2.0411534,,,,,,,,
0.4,,,,,,exp,,,,,0.3450178,,,,,,,,
0.4,,,,,,exp,,,,,2.7584757,,,,,,,,
0.4,,,,,,exp,,,,,0.8593781,,,,,,,,
0.4,,,,,,exp,,,,,0.4435605,,,,,,,,
0.4,,,,,,exp,,,,,0.9422074,,,,,,,,
0.4,,,,,,exp,,,,,0.523505,,,,,,,,
0.4,,,,,,exp,,,,,2.6322504,,,,,,,,
0.4,,,,,,exp,,,,,0.4333268,,,,,,,,
0.4,,,,,,exp,,,,,0.3880675,,,,,,,,
0.4,,,,,,exp,,,,,0.3978572,,,,,,,,
0.4,,,,,,exp,,,,,0.6540122,,,,,,,,
0.4,,,,,,exp,,,,,0.99137,,,,,,,,
0.4,,,,,,exp,,,,,0.121312,,,,,,,,
0.4,,,,,,exp,,,,,0.6740995,,,,,,,,
0.4,,,,,,exp,,,,,0.4091045,,,,,,,,
0.4,,,,,,exp,,,,,0.3876116,,,,,,,,
0.4,,,,,,exp,,,,,0.9827917,,,,,,,,
0.4,,,,,,exp,,,,,0.6266479,,,,,,,,
0.4,,,,,,exp,,,,,1.5955308,,,,,,,,
0.4,,,,,,exp,,,,,0.5344397,,,,,,,,
0.4,,,,,,exp,,,,,0.4421759,,,,,,,,
0.4,,,,,,exp,,,,,0.8678324,,,,,,,,
0.4,,,,,,exp,,,,,0.5272389,,,,,,,,
0.4,,,,,,exp,,,,,5.5641978,,,,,,,,
0.4,,,,,,exp,,,,,0.3594592,,,,,,,,
0.4,,,,,,exp,,,,,1.2023036,,,,,,,,
0.4,,,,,,exp,,,,,0.5089195,,,,,,,,
0.4,,,,,,exp,,,,,0.4481216,,,,,,,,
